,LATITUDE,LONGITUDE
7314,30.0561,-93.7539
1194,41.1692,-73.1844
4823,30.2689,-85.7003
1029,37.6961,-78.2848
652,29.93876,-95.3509
3058,37.91,-87.3267
7807,30.558,-98.3705
8917,35.6139,-115.3561
7088,38.0436,-122.2532
2631,17.979,-66.7556
4729,29.706291,-95.057016
3946,36.425,-114.9
343,41.42139,-97.288612
6438,29.365859,-94.936113
5574,41.3917,-91.0569
5508,29.857573,-94.912893
3972,33.7639,-118.0942
3854,32.512975,-96.971099
667,32.5181,-93.7611
4872,30.4364,-95.5215
7877,48.489534,-122.564292
413,33.3806,-89.2039
3033,35.4159,-108.082
5442,27.6417,-81.9625
3589,40.5806,-98.3106
2497,38.0167,-121.8439
8062,32.462679,-97.025572
7275,34.04997,-118.25358
7563,39.1778,-94.1861
7872,39.74846,-104.99402
5343,35.2979,-97.5896
1438,29.084209,-95.736462
5507,39.8228,-75.4033
7782,35.2097,-119.585
3656,42.9043,-71.4251
674,37.3596,-94.5913
6274,30.225784,-91.053154
6496,33.580992,-96.615264
589,36.4178,-114.9622
8553,29.722274,-95.254401
6888,38.6306,-104.7056
7469,33.3333,-111.751
3851,33.27738,-80.430135
1401,42.32786,-96.36489
5863,33.4759,-113.1133
1990,33.2881,-89.4201
5479,34.437557,-116.891034
8552,35.085843,-90.083385
6966,42.2733,-83.1131
9113,32.3347,-97.7344
4006,34.5953,-117.3647
196,48.8455,-122.7055
7068,29.74899,-93.87005
7513,34.9678,-96.7242
9013,37.7997,-79.9946
3992,45.7931,-119.3117
7874,36.436389,-99.471111
6559,32.6914,-92.0192
5235,26.3403,-98.19
3884,29.990148,-93.946735
5451,41.2239,-73.1
8549,27.810775,-97.436658
1016,41.6925,-83.4375
3259,40.2461,-104.8742
2243,45.8486,-119.6744
6961,29.5932,-97.9724
3275,44.3204,-88.2089
4030,32.3781,-90.2169
2091,37.047556,-95.606106
6614,31.99748,-102.07744
6420,18.0001,-66.7536
3725,27.8881,-97.2572
5318,38.8244,-104.8331
6129,29.72376,-95.07422
4963,38.03,-121.8708
3955,39.9705,-80.4141
330,33.4417,-112.1583
363,37.04943,-88.36725
1679,35.4673582,-97.5140966
874,41.6786,-83.4539
1479,27.810556,-97.426944
3916,34.2533,-85.3456
3770,39.1781,-76.5268
3739,30.16115,-95.45389
8461,47.564451,-92.63057
4891,40.7234,-84.1133
1957,35.53376,-97.52976
1136,35.535,-82.8411
4238,41.65424,-87.44665
1240,40.7412,-91.1168
8794,31.76945,-106.41426
7706,40.8222,-76.1736
6189,28.0525,-81.8083
1118,35.6957,-101.36
459,30.0169,-90.40874
